trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"ACE 04","17:23:00","17:23:00","3400002","8","","0","0","119191.53000000",1
"ACE 04","17:47:00","17:47:00","3400001","9","","0","0","137810.88000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","15:35:00","15:35:00","3400006.3","0","","0","0","0.00000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","15:40:00","15:40:00","3400006.2","1","","0","0","4113.75000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","15:49:00","15:49:00","3400006.1","2","","0","0","10848.77000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","16:05:00","16:05:00","3400005","3","","0","0","31001.17000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","16:28:00","16:28:00","3400004.3","4","","0","0","52130.16000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","16:37:00","16:37:00","3400004.2","5","","0","0","63077.06000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","16:42:00","16:42:00","3400004.1","6","","0","0","67705.00000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","17:11:00","17:11:00","3400003","7","","0","0","99722.75000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","17:23:00","17:23:00","3400002","8","","0","0","119191.53000000",1
"a42f60b1-d644-4a22-946e-4189a90e6a43","17:47:00","17:47:00","3400001","9","","0","0","137810.88000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","16:35:00","16:35:00","3400006.3","0","","0","0","0.00000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","16:40:00","16:40:00","3400006.2","1","","0","0","4113.75000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","16:49:00","16:49:00","3400006.1","2","","0","0","10848.77000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","17:05:00","17:05:00","3400005","3","","0","0","31001.17000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","17:28:00","17:28:00","3400004.3","4","","0","0","52130.16000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","17:37:00","17:37:00","3400004.2","5","","0","0","63077.06000000",1
